ProbeName	ProbeDisplayName	TargetName	HUGOSymbol	Accessions	GenomeBuild	GenomicPosition	AnalyteType	CodeClass	ProbePool	TargetGroup	GeneID
40165	GPR155_01	GPR155	GPR155	"XM_017003487.1,XM_017003486.2,NM_152529.7,XM_017003485.2,NM_001267050.2,NM_001033045.4,NM_001267051.1"	GRCh38.p13	chr2:174446747-174453785	RNA	Endogenous	01	All Targets	151556
44860	ACAD8_01	ACAD8	ACAD8	"XM_017017547.2,XM_017017542.2,NM_014384.3,XM_017017546.2,XM_017017549.2,XM_017017543.2,XM_017017548.2,XM_024448437.1,XM_017017545.2,XM_017017544.2,XM_024448438.1,XM_011542750.3,XM_005271505.4"	GRCh38.p13	chr11:134259009-134259043	RNA	Endogenous	01	All Targets	27034
48649	PHF5A_01	PHF5A	PHF5A	NM_032758.4	GRCh38.p13	chr22:41468630-41468679	RNA	Endogenous	01	All Targets	84844
49189	RAB40A_01	RAB40A	RAB40A	NM_080879.3	GRCh38.p13	chrX:103500817-103517406	RNA	Endogenous	01	All Targets	142684
13599	USF3_01	USF3	USF3	"XM_017005871.1,NR_111981.2,XM_024453391.1,XM_024453392.1,XM_005247208.4,XM_017005872.1,NM_001009899.4"	GRCh38.p13	chr3:113664318-113664356	RNA	Endogenous	01	All Targets	205717
43648	PPARD_01	PPARD	PPARD	"NM_177435.3,XM_017010973.1,XM_024446474.1,XM_017010972.1,NM_001171820.1,NM_001171819.1,NM_001171818.2,XM_005249193.1,XM_006715120.1,NM_006238.5,XM_006715123.1,XM_011514707.1,XM_017010974.1,XM_011514710.1"	GRCh38.p13	chr6:35424123-35424337	RNA	Endogenous	01	All Targets	5467
41802	TFAP2C_01	TFAP2C	TFAP2C	NM_003222.4	GRCh38.p13	chr20:56637878-56637916	RNA	Endogenous	01	All Targets	7022
47458	TFB2M_01	TFB2M	TFB2M	"XM_017002055.1,NM_022366.3,XM_011544248.2"	GRCh38.p13	chr1:246566111-246566148	RNA	Endogenous	01	All Targets	64216
35376	ACACA_01	ACACA	ACACA	"XM_011524701.1,XM_011524704.2,NM_198836.2,XR_001752504.1,NM_198838.1,XM_006721853.1,XM_017024555.1,NM_198839.2,XM_011524703.1,XM_017024554.1,NM_198834.3,XM_005257267.5,XM_017024553.1,NM_198837.1"	GRCh38.p13	chr17:37191205-37191239	RNA	Endogenous	01	All Targets	31
49300	ACTRT1_01	ACTRT1	ACTRT1	NM_138289.4	GRCh38.p13	chrX:128051049-128051098	RNA	Endogenous	01	All Targets	139741
51706	FMC1_01	FMC1	FMC1	"NR_073058.1,NR_073060.1,NM_197964.5,NR_073059.1"	GRCh38.p13	chr7:139345689-139345723	RNA	Endogenous	01	All Targets	154791
39891	TGOLN2_01	TGOLN2	TGOLN2	"NM_001206841.2,NM_001206844.2,NM_001206840.2,NM_001368096.1,NM_006464.4,NM_001368095.1"	GRCh38.p13	chr2:85320202-85320251	RNA	Endogenous	01	All Targets	10618
47167	TMSB10_01	TMSB10	TMSB10	NM_021103.4	GRCh38.p13	chr2:84906447-84906488	RNA	Endogenous	01	All Targets	9168
39682	C16orf95_01	C16orf95	C16orf95	"NM_001195124.3,NM_001195125.2,NM_001256917.1"	GRCh38.p13	chr16:87302958-87303007	RNA	Endogenous	01	All Targets	100506581
49214	RGS18_01	RGS18	RGS18	"NM_130782.3,XM_011509891.3"	GRCh38.p13	chr1:192185436-192185485	RNA	Endogenous	01	All Targets	64407
35493	TLN2_01	TLN2	TLN2	"XM_024450087.1,XM_017022665.2,XM_005254714.3,XM_005254715.3,XM_005254712.4,XM_005254711.5,XM_017022667.1,XR_001751405.2,XM_005254710.5,XM_006720717.4,XM_005254713.5,NM_015059.2,XM_017022668.2,XM_017022666.1,XM_017022669.1,XM_005254708.4"	GRCh38.p13	chr15:62647357-62647398	RNA	Endogenous	01	All Targets	83660
34360	OR5M1_01	OR5M1	"OR5M1,OR5M10"	"NM_001004741.1,NM_001004740.2"	GRCh38.p13	chr11:56577542-56577576	RNA	Endogenous	01	All Targets	390168
41897	VASP_01	VASP	VASP	"XM_005259199.2,NM_003370.4,XM_005259200.2,XM_017027200.2"	GRCh38.p13	chr19:45526243-45526292	RNA	Endogenous	01	All Targets	7408
48833	LACRT_01	LACRT	LACRT	NM_033277.2	GRCh38.p13	chr12:54630936-54631769	RNA	Endogenous	01	All Targets	90070
42536	FGD1_01	FGD1	FGD1	NM_004463.3	GRCh38.p13	chrX:54455761-54456245	RNA	Endogenous	01	All Targets	2245
49717	TRIM11_01	TRIM11	TRIM11	"XM_017002412.2,NM_145214.3,XM_011544285.3"	GRCh38.p13	chr1:228394787-228394830	RNA	Endogenous	01	All Targets	81559
47346	HAND2_01	HAND2	HAND2	NM_021973.3	GRCh38.p13	chr4:173526998-173527047	RNA	Endogenous	01	All Targets	9464
47783	ROGDI_01	ROGDI	ROGDI	"XM_006720948.4,NM_024589.3,XM_006720947.4,NR_046480.1"	GRCh38.p13	chr16:4797731-4797768	RNA	Endogenous	01	All Targets	79641
42623	SCN2B_01	SCN2B	SCN2B	NM_004588.5	GRCh38.p13	chr11:118162956-118163005	RNA	Endogenous	01	All Targets	6327
34880	SH2D4A_01	SH2D4A	SH2D4A	"NM_001174160.1,NM_001363111.1,NM_001363110.1,NM_001174159.1,NM_022071.4,NR_156444.1"	GRCh38.p13	chr8:19333010-19333044	RNA	Endogenous	01	All Targets	63898
50387	SPAG1_01	SPAG1	SPAG1	"XR_001745581.1,XR_001745580.1,XM_011517241.2,NM_172218.3,XM_011517245.2,XM_011517240.2,XR_001745583.1,NM_003114.5,XR_001745582.1,XM_017013755.1,NM_001374321.1,XM_011517243.2,XM_017013754.1"	GRCh38.p13	chr8:100191392-100191441	RNA	Endogenous	01	All Targets	6674
49019	CCND1_01	CCND1	CCND1	NM_053056.3	GRCh38.p13	chr11:69643949-69648000	RNA	Endogenous	01	All Targets	595
39172	FCRL1_01	FCRL1	FCRL1	"XM_011509136.1,XR_921740.1,XM_011509129.1,XM_011509128.1,XM_011509125.1,NM_001159397.2,NM_052938.5,XM_005244867.2,XM_011509127.2,XM_011509126.1,NM_001159398.2,XR_921739.1,XM_005244866.2,XR_921738.1,XM_017000227.1,XM_005244869.3,XM_011509132.2,XM_011509133.2,XM_011509130.1,XM_011509134.2,XM_011509131.1,XM_011509135.2"	GRCh38.p13	chr1:157802476-157802525	RNA	Endogenous	01	All Targets	115350
40071	ANKRD11_01	ANKRD11	ANKRD11	"XM_024450244.1,XM_017023184.1,XM_011523057.2,XM_017023185.1,XM_011523053.2,XM_011523056.2,NM_013275.6,XM_006721184.2,XM_017023182.2,XM_017023183.1,XM_017023186.1,NM_001256182.2,XM_017023187.1,NM_001256183.2,XM_011523055.2,XM_011523051.3,XM_011523054.2,NR_045839.2"	GRCh38.p13	chr16:89290721-89290757	RNA	Endogenous	01	All Targets	29123
50939	SPATA12_01	SPATA12	SPATA12	"NM_181727.2,XM_024453510.1"	GRCh38.p13	chr3:57073902-57073951	RNA	Endogenous	01	All Targets	353324
34384	CENPVL3_01	CENPVL3	CENPVL3	NM_001355276.2			RNA	Endogenous	01	All Targets	347549
36291	RPL5_01	RPL5	RPL5	"NM_000969.5,NR_146333.1"	GRCh38.p13	chr1:92837491-92837540	RNA	Endogenous	01	All Targets	6125
49499	LIPH_01	LIPH	LIPH	"XM_017005852.2,NM_139248.3,XM_011512531.3,XM_006713529.4,XM_011512530.3"	GRCh38.p13	chr3:185508095-185508134	RNA	Endogenous	01	All Targets	200879
43964	RBP4_01	RBP4	RBP4	"NM_006744.4,NM_001323517.1,NM_001323518.1"	GRCh38.p13	chr10:93591922-93591971	RNA	Endogenous	01	All Targets	5950
37275	ARF1_01	ARF1	ARF1	"NM_001024227.1,NM_001658.4,NM_001024228.2,XM_017001233.1,NM_001024226.1"	GRCh38.p13	chr1:228098576-228098625	RNA	Endogenous	01	All Targets	375
38658	DSG4_01	DSG4	DSG4	"NM_177986.5,NM_001134453.2"	GRCh38.p13	chr18:31376841-31376890	RNA	Endogenous	01	All Targets	147409
49669	DRC1_01	DRC1	DRC1	"XM_005264637.3,XM_017005271.1,XM_024453218.1,NM_145038.5"	GRCh38.p13	chr2:26450085-26450640	RNA	Endogenous	01	All Targets	92749
37764	SLC6A2_01	SLC6A2	SLC6A2	"XM_011523296.2,NM_001172504.1,XM_011523300.2,XM_011523299.2,XM_006721263.2,XM_011523295.2,XM_011523298.2,NM_001172501.2,NM_001043.3,XR_933403.3,NM_001172502.1,XM_011523297.3"	GRCh38.p13	chr16:55672149-55685165	RNA	Endogenous	01	All Targets	6530
38608	IFT22_01	IFT22	IFT22	"NM_001287526.1,NM_001130822.3,NM_022777.4,NM_001287525.2,NM_001130821.3,NM_001130820.3"	GRCh38.p13	chr7:101316439-101316476	RNA	Endogenous	01	All Targets	64792
38726	C11orf68_01	C11orf68	C11orf68	"NM_001135635.2,NM_031450.4"	GRCh38.p13	chr11:65917155-65917197	RNA	Endogenous	01	All Targets	83638
40083	DNAAF10_01	DNAAF10	DNAAF10	"NM_138458.4,NM_001256476.2,NR_046234.2"	GRCh38.p13	chr2:68134775-68137323	RNA	Endogenous	01	All Targets	116143
40014	TNFSF8_01	TNFSF8	TNFSF8	"XM_024447719.1,NM_001252290.1,NM_001244.4,XR_001746422.2"	GRCh38.p13	chr9:114918127-114930146	RNA	Endogenous	01	All Targets	944
43524	RBM12_01	RBM12	RBM12	"NM_006047.6,NM_152838.4,NM_001198840.2,NM_001198838.2"	GRCh38.p13	chr20:35649272-35649321	RNA	Endogenous	01	All Targets	10137
50740	LRRTM3_01	LRRTM3	LRRTM3	"NM_178011.5,NR_111909.1"	GRCh38.p13	chr10:67097621-67097664	RNA	Endogenous	01	All Targets	347731
43590	NCK1_01	NCK1	NCK1	"NM_001190796.3,NM_006153.6,XM_024453538.1,NM_001291999.2"	GRCh38.p13	chr3:136945677-136945726	RNA	Endogenous	01	All Targets	4690
38123	CHCHD4_01	CHCHD4	CHCHD4	"NM_144636.3,NM_001098502.2"	GRCh38.p13	chr3:14112129-14112164	RNA	Endogenous	01	All Targets	131474
43152	CNOT9_01	CNOT9	CNOT9	"NM_001271634.2,XM_011512138.3,NM_001271635.1,NR_073390.2,XM_017005249.2,NM_005444.3,XM_017005248.1"	GRCh38.p13	chr2:218580607-218580656	RNA	Endogenous	01	All Targets	9125
44077	SUMO2_01	SUMO2	SUMO2	"NM_006937.4,NM_001005849.2"	GRCh38.p13	chr17:75182823-75182857	RNA	Endogenous	01	All Targets	6613
43277	TAF7_01	TAF7	TAF7	NM_005642.3	GRCh38.p13	chr5:141320650-141320699	RNA	Endogenous	01	All Targets	6879
49049	FKBP2_01	FKBP2	"LOC114841035,FKBP2"	"NM_004470.4,NM_001370362.1,NM_001370363.1,NM_001370414.1,NM_001370367.1,NM_001370365.1,NM_001370360.1,NM_057092.2,NM_001135208.1"	GRCh38.p13	chr11:64242496-64242534	RNA	Endogenous	01	All Targets	114841035
46305	ELP3_01	ELP3	ELP3	"NM_001284225.1,NM_001284220.2,NM_001284224.2,NM_018091.6,XM_024447184.1,XM_024447185.1,XM_017013604.2,NM_001284222.2,XM_006716354.3,NM_001284226.1"	GRCh38.p13	chr8:28137704-28137753	RNA	Endogenous	01	All Targets	55140
50570	CLBA1_01	CLBA1	CLBA1	"NM_001364170.1,XM_005267318.4,NM_174891.4"	GRCh38.p13	chr14:104986841-104988978	RNA	Endogenous	01	All Targets	122616
41619	GRK1_01	GRK1	GRK1	"XM_017020684.1,NM_002929.3"	GRCh38.p13	chr13:113669748-113669797	RNA	Endogenous	01	All Targets	6011
11434	BCDIN3D_01	BCDIN3D	BCDIN3D	NM_181708.3	GRCh38.p13	chr12:49838462-49838497	RNA	Endogenous	01	All Targets	144233
40686	EN1_01	EN1	EN1	NM_001426.4	GRCh38.p13	chr2:118842673-118842722	RNA	Endogenous	01	All Targets	2019
48100	TMEM177_01	TMEM177	TMEM177	"NM_001105199.2,NM_001105198.1,NM_030577.3,XR_002959349.1,XR_002959347.1,XR_002959348.1,XR_002959346.1"	GRCh38.p13	chr2:119681482-119681517	RNA	Endogenous	01	All Targets	80775
50918	CPLX4_01	CPLX4	CPLX4	NM_181654.4	GRCh38.p13	chr18:59295930-59295979	RNA	Endogenous	01	All Targets	339302
49100	DDX39B_01	DDX39B	"ATP6V1G2-DDX39B,DDX39B"	"NM_004640.7,NR_037852.2,NR_037853.1,NM_080598.6"	GRCh38.p13	chr6:31530445-31530822	RNA	Endogenous	01	All Targets	7919
50374	CD8B_01	CD8B	"CD8B2,CD8B"	"NM_172101.4,NM_001178100.1,XM_024453217.1,NM_001349727.2,NM_172102.4,XM_011533164.2,NM_004931.5,NM_001368307.2,NM_172213.4"	GRCh38.p13	"chr2:86853013-86853050,chr2:106496209-106496246"	RNA	Endogenous	01	All Targets	927
47252	CDH22_01	CDH22	CDH22	"XM_024451966.1,XM_011528994.2,NM_021248.3"	GRCh38.p13	chr20:46186618-46186657	RNA	Endogenous	01	All Targets	64405
41283	MAX_01	MAX	MAX	"NM_145112.3,XR_002957553.1,XR_001750326.2,NR_073137.1,NM_001271068.1,NM_001320415.2,XR_943451.3,NR_073138.1,XR_943450.3,NM_001271069.1,NM_197957.3,XM_017021313.1,XM_017021312.2,XM_011536773.3,NM_145113.3,NM_002382.5,XR_943452.3,XR_001750327.2,NM_145114.2"	GRCh38.p13	chr14:65093759-65093803	RNA	Endogenous	01	All Targets	4149
11772	DAAM2_01	DAAM2	DAAM2	"XM_006715042.2,XM_006715046.4,XM_017010630.1,XM_006715039.3,XM_006715040.3,XM_006715045.3,NM_015345.3,XM_006715043.2,NM_001201427.2"	GRCh38.p13	chr6:39879216-39879253	RNA	Endogenous	01	All Targets	23500
40207	SYT6_01	SYT6	SYT6	"XM_024453337.1,NM_001366224.1,NM_001366225.1,NM_001366226.1,XR_001736985.1,NM_001366223.1,NM_205848.3,XR_946547.3,NM_001253772.2,XR_002959489.1,NM_001270805.1,XM_024453336.1"	GRCh38.p13	chr1:114137747-114137796	RNA	Endogenous	01	All Targets	148281
35803	OCA2_01	OCA2	OCA2	"XM_017022257.1,XM_011521640.2,XM_017022259.1,XM_017022256.1,XM_017022261.1,NM_000275.3,NM_001300984.2,XM_017022255.1,XM_017022262.1,XM_017022263.1,XM_017022260.1"	GRCh38.p13	chr15:27755373-27755422	RNA	Endogenous	01	All Targets	4948
41939	ZNF124_01	ZNF124	ZNF124	"NM_001297567.1,NM_003431.5,NM_001297568.1,NM_001297569.1,NM_001243740.2,XM_006711813.3,XM_005273257.4,XR_001737398.2"	GRCh38.p13	chr1:247171886-247171923	RNA	Endogenous	01	All Targets	7678
39518	LGALS3_01	LGALS3	LGALS3	"NM_002306.4,NR_003225.2,NM_001357678.2"	GRCh38.p13	chr14:55140340-55142609	RNA	Endogenous	01	All Targets	3958
46103	PAQR5_01	PAQR5	PAQR5	"XM_017022366.1,XM_017022363.1,XM_011521727.2,XM_017022362.1,NM_001104554.1,XM_011521723.2,XM_017022368.1,XM_024449966.1,XM_017022364.1,XM_017022361.1,XM_017022360.1,XM_011521725.2,XM_005254495.4,NM_017705.4,XM_011521720.2"	GRCh38.p13	"chr15:69379965-69397471,chr15:69379965-69389657,chr15:69379965-69384680"	RNA	Endogenous	01	All Targets	54852
46930	TTYH1_01	TTYH1	TTYH1	"NM_020659.4,NM_001005367.3,NM_001201461.2"	GRCh38.p13	chr19:54421295-54421334	RNA	Endogenous	01	All Targets	57348
45993	SPA17_01	SPA17	SPA17	"XM_011542870.2,XM_024448583.1,NM_017425.4"	GRCh38.p13	chr11:124675354-124675403	RNA	Endogenous	01	All Targets	53340
44090	ZNF12_01	ZNF12	ZNF12	"NM_016265.4,NM_006956.3"	GRCh38.p13	chr7:6689427-6689476	RNA	Endogenous	01	All Targets	7559
44982	BRINP1_01	BRINP1	BRINP1	NM_014618.3	GRCh38.p13	chr9:119369072-119369121	RNA	Endogenous	01	All Targets	1620
50734	UBAC2_01	UBAC2	UBAC2	"XM_011521083.2,NM_001144072.2,XM_006719948.3,XM_017020553.1,NR_026644.2,XM_011521082.2,NM_177967.4"	GRCh38.p13	chr13:99385663-99385712	RNA	Endogenous	01	All Targets	337867
12644	NACA2_01	NACA2	NACA2	NM_199290.4	GRCh38.p13	chr17:61591021-61591055	RNA	Endogenous	01	All Targets	342538
51485	C2CD4A_01	C2CD4A	C2CD4A	NM_207322.3	GRCh38.p13	chr15:62069169-62069218	RNA	Endogenous	01	All Targets	145741
44783	SLC25A15_01	SLC25A15	SLC25A15	NM_014252.4	GRCh38.p13	chr13:40811010-40811059	RNA	Endogenous	01	All Targets	10166
38823	TLK1_01	TLK1	TLK1	"XM_017005422.2,XR_001739085.2,XM_024453262.1,NM_001136554.2,XR_001739084.2,NM_001136555.2,XM_011512238.3,NM_012290.5,XM_024453261.1"	GRCh38.p13	chr2:171055145-171056492	RNA	Endogenous	01	All Targets	9874
51522	RGS9BP_01	RGS9BP	RGS9BP	NM_207391.3	GRCh38.p13	chr19:32677811-32677860	RNA	Endogenous	01	All Targets	388531
50489	ZDHHC23_01	ZDHHC23	ZDHHC23	"NM_001320468.2,NR_135271.2,NM_173570.5,XR_001740081.1,XM_017006086.1,NM_001320466.2,XM_011512619.1,XM_017006087.1,XM_011512618.2,NM_001320467.2,XR_001740080.1,XM_017006084.1,XR_924119.1,XM_005247270.3,XR_001740079.1,XM_006713562.3,NM_001363952.1,XR_924118.3,XM_005247269.1"	GRCh38.p13	chr3:113956476-113958381	RNA	Endogenous	01	All Targets	254887
